"Abbey"
"Colonsay No. 342"
"Connaught No. 457"
"Conquest"
"Consul"
"Corman Park No. 344"
"Coronach"
"Cote No. 271"
"Coteau Beach"
"Coteau No. 255"
"Craik"
"Craik No. 222"
"Craven"
"Creelman"
"Cudworth"
"Cupar"
"Cupar No. 218"
"Cut Knife"
"Cut Knife No. 439"
"Cymri No. 36"
"Dalmeny"
"Davidson"
"Debden"
"Deer Forks No. 232"
"Delisle"
"Denholm"
"Denzil"
"Dilke"
"Dinsmore"
"Disley"
"Dodsland"
"Dorintosh"
"Douglas No. 436"
"Drake"
"Drinkwater"
"Dubuc"
"Duck Lake"
"Duck Lake No. 463"
"Duff"
"Dufferin No. 190"
"Dundurn"
"Dundurn No. 314"
"Duval"
"Dysart"
"Earl Grey"
"Eastend"
"Eatonia"
"Ebenezer"
"Echo Bay"
"Edam"
"Edenwold"
"Edenwold No. 158"
"Elbow"
"Elcapo No. 154"
"Eldon No. 471"
"Elfros"
"Elfros No. 307"
"Elmsthorpe No. 100"
"Elrose"
"Endeavour"
"Enfield No. 194"
"Englefeld"
"Enniskillen No. 3"
"Enterprise No. 142"
"Ernfold"
"Esterhazy"
"Estevan"
"Estevan No. 5"
"Eston"
"Etters Beach"
"Excelsior No. 166"
"Eye Hill No. 382"
"Eyebrow"
"Eyebrow No. 193"
"Fairlight"
"Fenwood"
"Fertile Belt No. 183"
"Fertile Valley No. 285"
"Fillmore"
"Fillmore No. 96"
"Findlater"
"Fish Creek No. 402"
"Flaxcombe"
"Fleming"
"Flett's Springs No. 429"
"Flin Flon (part)"
"Foam Lake"
"Foam Lake No. 276"
"Forget"
"Fort Qu'Appelle"
"Fort San"
"Fosston"
"Fox Valley"
"Fox Valley No. 171"
"Francis"
"Francis No. 127"
"Frenchman Butte No. 501"
"Frobisher"
"Frontier"
"Frontier No. 19"
"Gainsborough"
"Garden River No. 490"
"Gerald"
"Glaslyn"
"Glen Ewen"
"Glen Harbour"
"Glenavon"
"Glenside"
"Golden Prairie"
"Good Lake No. 274"
"Goodeve"
"Goodsoil"
"Goodwater"
"Govan"
"Grand Coulee"
"Grandview Beach"
"Grant No. 372"
"Grassy Creek No. 78"
"Gravelbourg"
"Gravelbourg No. 104"
"Grayson"
"Grayson No. 184"
"Great Bend No. 405"
"Greig Lake"
"Grenfell"
"Gull Lake"
"Gull Lake No. 139"
"Hafford"
"Hague"
"Halbrite"
"Hanley"
"Happyland No. 231"
"Harris"
"Harris No. 316"
"Hart Butte No. 11"
"Hawarden"
"Hazel Dell No. 335"
"Hazenmore"
"Hazlet"
"Hepburn"
"Herbert"
"Heward"
"Hillsdale No. 440"
"Hodgeville"
"Holdfast"
"Hoodoo No. 401"
"Hubbard"
"Hudson Bay"
"Hudson Bay No. 394"
"Humboldt"
"Humboldt No. 370"
"Huron No. 223"
"Hyas"
"Imperial"
"Indian Head"
"Indian Head No. 156"
"Insinger No. 275"
"Invermay"
"Invermay No. 305"
"Island View"
"Ituna"
"Ituna Bon Accord No. 246"
"Jansen"
"Kamsack"
"Kannata Valley"
"Katepwa"
"Keeler"
"Kelliher"
"Kellross No. 247"
"Kelvington"
"Kelvington No. 366"
"Kenaston"
"Kendal"
"Kennedy"
"Kenosee Lake"
"Kerrobert"
"Key West No. 70"
"Killaly"
"Kincaid"
"Kindersley"
"Kindersley No. 290"
"Kingsley No. 124"
"Kinistino"
"Kinistino No. 459"
"Kinley"
"Kipling"
"Kisbey"
"Kivimaa-Moonlight Bay"
"Krydor"
"Kyle"
"Lacadena No. 228"
"Lafleche"
"Laird"
"Laird No. 404"
"Lake Johnston No. 102"
"Lake Lenore"
"Lake Lenore No. 399"
"Lake of the Rivers No. 72"
"Lakeland No. 521"
"Lakeside No. 338"
"Lakeview No. 337"
"Lampman"
"Lancer"
"Landis"
"Lang"
"Langenburg"
"Langenburg No. 181"
"Langham"
"Lanigan"
"Lashburn"
"Last Mountain Valley No. 250"
"Laurier No. 38"
"Lawtonia No. 135"
"Leader"
"Leask"
"Leask No. 464"
"Lebret"
"Lemberg"
"Leoville"
"Leross"
"Leroy"
"Leroy No. 339"
"Leslie Beach"
"Liberty"
"Limerick"
"Lintlaw"
"Lipton"
"Lipton No. 217"
"Livingston No. 331"
"Lloydminster (part)"
"Lomond No. 37"
"Lone Tree No. 18"
"Longlaketon No. 219"
"Loon Lake"
"Loon Lake No. 561"
"Loreburn"
"Loreburn No. 254"
"Love"
"Lucky Lake"
"Lumsden"
"Lumsden Beach"
"Lumsden No. 189"
"Luseland"
"MacNutt"
"Macklin"
"Macoun"
"Macrorie"
"Maidstone"
"Major"
"Makwa"
"Manitou Beach"
"Manitou Lake No. 442"
"Mankota"
"Mankota No. 45"
"Manor"
"Maple Bush No. 224"
"Maple Creek"
"Maple Creek No. 111"
"Marcelin"
"Marengo"
"Margo"
"Markinch"
"Marquis"
"Marquis No. 191"
"Marsden"
"Marshall"
"Martensville"
"Martin No. 122"
"Maryfield"
"Maryfield No. 91"
"Mayfield No. 406"
"Maymont"
"McCraney No. 282"
"McKillop No. 220"
"McLean"
"McLeod No. 185"
"McTaggart"
"Meacham"
"Meadow Lake"
"Meadow Lake No. 588"
"Meath Park"
"Medstead"
"Medstead No. 497"
"Melfort"
"Melville"
"Melville Beach"
"Mendham"
"Meota"
"Meota No. 468"
"Mervin"
"Mervin No. 499"
"Metinota"
"Midale"
"Middle Lake"
"Milden"
"Milden No. 286"
"Milestone"
"Milton No. 292"
"Minton"
"Miry Creek No. 229"
"Mistatim"
"Mistusinne"
"Monet No. 257"
"Montmartre"
"Montmartre No. 126"
"Moose Creek No. 33"
"Moose Jaw"
"Moose Jaw No. 161"
"Moose Mountain No. 63"
"Moose Range No. 486"
"Moosomin"
"Moosomin No. 121"
"Morris No. 312"
"Morse"
"Morse No. 165"
"Mortlach"
"Mossbank"
"Mount Hope No. 279"
"Mount Pleasant No. 2"
"Muenster"
"Naicam"
"Neilburg"
"Netherhill"
"Neudorf"
"Neville"
"Nipawin"
"Nipawin No. 487"
"Nokomis"
"Norquay"
"North Battleford"
"North Battleford No. 437"
"North Grove"
"North Portal"
"North Qu'Appelle No. 187"
"Norton No. 69"
"Oakdale No. 320"
"Odessa"
"Ogema"
"Old Post No. 43"
"Orkney No. 244"
"Osage"
"Osler"
"Outlook"
"Oxbow"
"Paddockwood"
"Paddockwood No. 520"
"Pangman"
"Paradise Hill"
"Parkdale No. 498"
"Parkside"
"Paynton"
"Paynton No. 470"
"Pebble Baye"
"Pelican Pointe"
"Pelly"
"Pennant"
"Pense"
"Pense No. 160"
"Perdue"
"Perdue No. 346"
"Pierceland"
"Pilger"
"Pilot Butte"
"Pinto Creek No. 75"
"Pittville No. 169"
"Pleasantdale"
"Pleasantdale No. 398"
"Plenty"
"Plunkett"
"Ponass Lake No. 367"
"Ponteix"
"Poplar Valley No. 12"
"Porcupine No. 395"
"Porcupine Plain"
"Prairiedale No. 321"
"Preeceville"
"Preeceville No. 334"
"Prelate"
"Prince Albert"
"Prince Albert No. 461"
"Progress No. 351"
"Prud'homme"
"Punnichy"
"Qu'Appelle"
"Quill Lake"
"Quinton"
"Radisson"
"Radville"
"Rama"
"Raymore"
"Reciprocity No. 32"
"Redberry No. 435"
"Redburn No. 130"
"Redvers"
"Reford No. 379"
"Regina"
"Regina Beach"
"Reno No. 51"
"Rhein"
"Richard"
"Richmound"
"Ridgedale"
"Riverhurst"
"Riverside No. 168"
"Rocanville"
"Rocanville No. 151"
"Roche Percee"
"Rockglen"
"Rodgers No. 133"
"Rose Valley"
"Rosedale No. 283"
"Rosetown"
"Rosthern"
"Rosthern No. 403"
"Rouleau"
"Round Valley No. 410"
"Ruddell"
"Rudy No. 284"
"Rush Lake"
"Saltcoats"
"Saltcoats No. 213"
"Sarnia No. 221"
"Saskatchewan Beach"
"Saskatchewan Landing No. 167"
"Saskatoon"
"Sasman No. 336"
"Sceptre"
"Scott"
"Scott No. 98"
"Sedley"
"Semans"
"Senlac"
"Senlac No. 411"
"Shamrock"
"Shamrock No. 134"
"Shaunavon"
"Sheho"
"Shell Lake"
"Shellbrook"
"Shellbrook No. 493"
"Sherwood No. 159"
"Shields"
"Silton"
"Simpson"
"Sintaluta"
"Smeaton"
"Smiley"
"Snipe Lake No. 259"
"South Lake"
"South Qu'Appelle No. 157"
"South Qu'appelle No. 157"
"Southey"
"Spalding"
"Spalding No. 368"
"Speers"
"Spiritwood"
"Spiritwood No. 496"
"Springside"
"Spy Hill"
"Spy Hill No. 152"
"St. Andrews No. 287"
"St. Benedict"
"St. Brieux"
"St. Gregor"
"St. Louis"
"St. Louis No. 431"
"St. Peter No. 369"
"St. Philips No. 301"
"St. Walburg"
"Stanley No. 215"
"Star City"
"Star City No. 428"
"Stenen"
"Stewart Valley"
"Stockholm"
"Stonehenge No. 73"
"Storthoaks"
"Storthoaks No. 31"
"Stoughton"
"Strasbourg"
"Strongfield"
"Sturgis"
"Success"
"Sun Valley"
"Sunset Cove"
"Surprise Valley No. 9"
"Swift Current"
"Swift Current No. 137"
"Tantallon"
"Tecumseh No. 65"
"Tessier"
"The Gap No. 39"
"Theodore"
"Thode"
"Three Lakes No. 400"
"Tisdale"
"Tisdale No. 427"
"Tobin Lake"
"Togo"
"Tompkins"
"Torch River No. 488"
"Torquay"
"Tramping Lake"
"Tramping Lake No. 380"
"Tugaske"
"Turtle River No. 469"
"Turtle View"
"Turtleford"
"Tuxford"
"Unity"
"Usborne No. 310"
"Val Marie"
"Val Marie No. 17"
"Valparaiso"
"Vanguard"
"Vanscoy"
"Vanscoy No. 345"
"Vibank"
"Victory No. 226"
"Viscount"
"Viscount No. 341"
"Vonda"
"Wadena"
"Wakaw"
"Wakaw Lake"
"Waldeck"
"Waldheim"
"Waldron"
"Wallace No. 243"
"Wapella"
"Warman"
"Waseca"
"Watrous"
"Watson"
"Wawken No. 93"
"Wawota"
"Webb"
"Webb No. 138"
"Wee Too Beach"
"Weekes"
"Weirdale"
"Weldon"
"West End"
"Weyburn"
"Weyburn No. 67"
"Wheatlands No. 163"
"Whiska Creek No. 106"
"White City"
"White Fox"
"White Valley No. 49"
"Whitewood"
"Wilcox"
"Wilkie"
"Willow Bunch"
"Willow Bunch No. 42"
"Willowdale No. 153"
"Wilton No. 472"
"Windthorst"
"Winslow No. 319"
"Wise Creek No. 77"
"Wiseton"
"Wolseley"
"Wolseley No. 155"
"Wolverine No. 340"
"Wood Creek No. 281"
"Wood Mountain"
"Wood River No. 74"
"Wreford No. 280"
"Wynyard"
"Yarbo"
"Yellow Grass"
"Yorkton"
"Young"
"Zealandia"
"Zelma"
"Zenon Park"
